card_id,account_id,card_number,card_type,credit_limit,available_credit,apr,expiry_date,status
CARD000301,ACC00000813,****-****-****-3948,amex,1000,925.8,17.8,2029-07,blocked
CARD000302,ACC00000877,****-****-****-6181,mastercard,15000,11264.52,23.52,2028-04,active
CARD000303,ACC00001111,****-****-****-1870,mastercard,5000,2877.72,24.69,2029-12,active
CARD000304,ACC00000805,****-****-****-9785,visa,1000,465.32,15.67,2028-08,active
CARD000305,ACC00001083,****-****-****-5144,amex,25000,20316.47,22.79,2029-04,active
CARD000306,ACC00000994,****-****-****-8616,mastercard,1000,758.44,15.37,2030-04,active
CARD000307,ACC00000935,****-****-****-6441,amex,50000,45207.9,21.89,2028-11,active
CARD000308,ACC00001073,****-****-****-8728,mastercard,1000,460.32,17.85,2030-03,active
CARD000309,ACC00000920,****-****-****-6690,amex,1000,830.86,15.38,2030-09,active
CARD000310,ACC00001133,****-****-****-8365,visa,5000,4086.29,14.42,2027-01,active
CARD000311,ACC00000874,****-****-****-3491,visa,25000,19378.5,23.08,2028-12,blocked
CARD000312,ACC00000960,****-****-****-9738,amex,1000,706.23,13.61,2028-02,active
CARD000313,ACC00001123,****-****-****-1373,mastercard,2500,2238.61,22.5,2028-02,active
CARD000314,ACC00001036,****-****-****-9496,amex,1000,673.3,17.27,2027-06,active
CARD000315,ACC00000820,****-****-****-3227,amex,2500,943.39,23.99,2028-11,active
CARD000316,ACC00000871,****-****-****-8610,visa,1000,931.96,21.93,2031-08,active
CARD000317,ACC00001026,****-****-****-1221,amex,50000,30348.55,18.0,2030-01,active
CARD000318,ACC00001002,****-****-****-6914,mastercard,50000,47606.54,18.18,2031-12,active
CARD000319,ACC00001012,****-****-****-8459,visa,5000,2442.02,22.3,2031-10,active
CARD000320,ACC00000962,****-****-****-4478,amex,25000,8089.63,17.66,2027-05,active
CARD000321,ACC00000961,****-****-****-5769,amex,10000,3050.38,18.79,2028-05,active
CARD000322,ACC00001039,****-****-****-5512,mastercard,10000,9645.91,23.02,2028-05,active
CARD000323,ACC00001042,****-****-****-7302,mastercard,1000,245.89,19.83,2030-06,active
CARD000324,ACC00001069,****-****-****-5529,visa,2500,1111.26,16.88,2030-10,active
CARD000325,ACC00001144,****-****-****-5939,visa,1000,694.71,18.17,2030-05,active
CARD000326,ACC00001148,****-****-****-2716,amex,25000,7194.72,17.84,2029-08,active
CARD000327,ACC00001014,****-****-****-6005,mastercard,2500,993.34,14.21,2031-11,active
CARD000328,ACC00001009,****-****-****-7652,amex,25000,10719.61,17.53,2029-10,active
CARD000329,ACC00001123,****-****-****-9785,visa,50000,11822.14,14.26,2028-11,active
CARD000330,ACC00000876,****-****-****-4958,amex,5000,3253.79,14.23,2031-06,active
CARD000331,ACC00001131,****-****-****-9687,amex,50000,24608.83,16.65,2030-09,active
CARD000332,ACC00000827,****-****-****-2334,visa,5000,1522.51,22.02,2029-12,active
CARD000333,ACC00001109,****-****-****-6471,mastercard,10000,2869.52,16.56,2031-10,active
CARD000334,ACC00000983,****-****-****-3313,visa,50000,31156.5,15.68,2028-03,active
