card_id,account_id,card_number,card_type,credit_limit,available_credit,apr,expiry_date,status
CARD000541,ACC00001504,****-****-****-3154,visa,5000,2581.52,20.91,2029-04,blocked
CARD000542,ACC00001721,****-****-****-2636,visa,25000,8203.91,22.92,2031-10,active
CARD000543,ACC00001640,****-****-****-1268,mastercard,25000,21498.53,20.22,2027-11,active
CARD000544,ACC00001571,****-****-****-7121,mastercard,50000,26211.59,18.31,2030-11,active
CARD000545,ACC00001692,****-****-****-1188,amex,50000,23407.91,18.92,2027-07,active
CARD000546,ACC00001532,****-****-****-1601,mastercard,10000,6500.9,18.17,2031-03,active
CARD000547,ACC00001790,****-****-****-1375,amex,2500,1447.29,18.83,2031-02,active
CARD000548,ACC00001775,****-****-****-1481,visa,50000,19067.08,18.55,2031-10,expired
CARD000549,ACC00001526,****-****-****-2293,visa,25000,24089.13,14.25,2029-06,active
CARD000550,ACC00001615,****-****-****-1083,mastercard,5000,2447.27,20.61,2028-04,active
CARD000551,ACC00001839,****-****-****-3119,amex,2500,1142.8,23.95,2027-08,active
CARD000552,ACC00001635,****-****-****-7677,mastercard,25000,6668.37,20.38,2030-01,active
CARD000553,ACC00001670,****-****-****-2008,visa,5000,4477.99,22.98,2031-10,active
CARD000554,ACC00001692,****-****-****-8402,visa,5000,1396.13,24.35,2029-05,active
CARD000555,ACC00001609,****-****-****-8656,mastercard,2500,2072.7,24.09,2027-03,active
CARD000556,ACC00001714,****-****-****-5632,visa,10000,2828.22,19.04,2030-02,expired
CARD000557,ACC00001763,****-****-****-6166,mastercard,15000,13163.12,13.41,2031-02,active
CARD000558,ACC00001835,****-****-****-2644,mastercard,10000,9764.44,21.35,2027-07,active
CARD000559,ACC00001622,****-****-****-9991,amex,10000,7594.64,14.26,2028-11,active
CARD000560,ACC00001555,****-****-****-2424,mastercard,2500,1233.01,15.48,2028-08,expired
CARD000561,ACC00001763,****-****-****-3833,mastercard,10000,6137.39,13.85,2028-10,active
CARD000562,ACC00001594,****-****-****-8313,mastercard,25000,15647.13,22.34,2028-07,active
CARD000563,ACC00001811,****-****-****-8682,amex,15000,6845.58,22.25,2031-11,active
CARD000564,ACC00001551,****-****-****-8201,amex,2500,2425.33,13.75,2027-07,active
CARD000565,ACC00001543,****-****-****-7021,mastercard,15000,10633.39,22.43,2028-01,active
CARD000566,ACC00001514,****-****-****-8339,mastercard,10000,6554.94,16.46,2028-12,active
CARD000567,ACC00001784,****-****-****-7071,visa,2500,1420.57,18.11,2030-08,active
CARD000568,ACC00001610,****-****-****-1840,amex,25000,20894.78,16.28,2027-09,expired
CARD000569,ACC00001844,****-****-****-2466,mastercard,10000,2161.49,16.87,2029-10,active
