customer_id,name,email,phone,address,city,state,segment,risk_rating,created_date,status
CUST001101,Bart Rivera,bart.rivera@outlook.com,+1-528-332-3707,1108 Chestnut Lane,Raleigh,NC,business,medium,2024-11-14,active
CUST001102,Krista Petrov,krista.petrov@icloud.com,+1-840-230-2092,3407 Cypress Path,Kansas City,MO,business,medium,2025-01-19,active
CUST001103,Aniyah Lindqvist,aniyah.lindqvist@icloud.com,+1-842-318-6896,321 Oak Avenue,Atlanta,GA,premium,medium,2026-02-26,active
CUST001104,Fisher Okonkwo,fisher.okonkwo@yahoo.com,+1-213-458-2266,9296 Cedar Lane,Salt Lake City,UT,business,medium,2025-08-08,active
CUST001105,Byrdie Kowalski,byrdie.kowalski@outlook.com,+1-670-983-6079,5939 Aspen Circle,Memphis,TN,business,medium,2025-03-16,active
CUST001106,Adriana Okafor,adriana.okafor@outlook.com,+1-956-209-6449,4041 Redwood Place,Richmond,VA,business,high,2025-06-28,active
CUST001107,Blake Svensson,blake.svensson@yahoo.com,+1-272-258-6798,7431 Pine Road,Kansas City,MO,business,low,2025-03-31,active
CUST001108,Pearlene Svensson,pearlene.svensson@protonmail.com,+1-545-350-5301,8318 Magnolia Street,Tucson,AZ,business,low,2025-10-02,active
CUST001109,Lovey Osei,lovey.osei@gmail.com,+1-664-301-6306,1386 Redwood Place,Atlanta,GA,business,low,2024-10-01,active
CUST001110,Jerrie Kimura,jerrie.kimura@outlook.com,+1-540-753-4797,6984 Oak Avenue,Tucson,AZ,premium,low,2024-03-16,active
CUST001111,Amalie Castellano,amalie.castellano@protonmail.com,+1-640-390-5440,7166 Cypress Path,Cincinnati,OH,retail,medium,2024-02-24,closed
CUST001112,Isla Al-Rashid,isla.al-rashid@protonmail.com,+1-979-882-4896,9918 Magnolia Street,Las Vegas,NV,business,high,2026-05-08,active
CUST001113,Garrett Svensson,garrett.svensson@protonmail.com,+1-729-999-9066,6747 Chestnut Lane,Miami,FL,business,low,2024-11-07,active
CUST001114,Tabitha Volkov,tabitha.volkov@outlook.com,+1-859-593-6968,6147 Pine Road,Baltimore,MD,private,low,2024-01-01,active
CUST001115,Benson Petrov,benson.petrov@gmail.com,+1-380-613-6369,6244 Maple Drive,Nashville,TN,premium,medium,2024-03-20,active
CUST001116,Emmer Gupta,emmer.gupta@outlook.com,+1-576-679-5639,1439 Chestnut Lane,Milwaukee,WI,premium,medium,2024-07-14,inactive
CUST001117,Lilah Almeida,lilah.almeida@gmail.com,+1-213-446-8629,4121 Spruce Terrace,Las Vegas,NV,retail,medium,2026-07-05,active
CUST001118,Luna Svensson,luna.svensson@yahoo.com,+1-378-340-5889,6102 Oak Avenue,Tampa,FL,business,medium,2026-04-21,active
CUST001119,Jayme Kowalski,jayme.kowalski@gmail.com,+1-925-266-3457,4973 Maple Drive,Nashville,TN,business,medium,2024-09-08,active
CUST001120,Keenen Watanabe,keenen.watanabe@yahoo.com,+1-260-169-2894,6962 Oak Avenue,Louisville,KY,retail,medium,2026-10-07,active
CUST001121,Gisselle Nakamura,gisselle.nakamura@outlook.com,+1-738-189-3477,5694 Magnolia Street,Cleveland,OH,private,high,2025-10-18,active
CUST001122,Cristofer Antonov,cristofer.antonov@yahoo.com,+1-597-210-1291,6846 Elm Boulevard,Minneapolis,MN,retail,medium,2024-09-27,active
CUST001123,Vinie Fernandez,vinie.fernandez@protonmail.com,+1-780-380-3898,1010 Cedar Lane,Minneapolis,MN,private,high,2024-07-28,inactive
CUST001124,Icie Kowalski,icie.kowalski@icloud.com,+1-622-881-9899,5064 Elm Boulevard,Tucson,AZ,business,low,2026-08-23,closed
CUST001125,Hjalmar Watanabe,hjalmar.watanabe@icloud.com,+1-634-435-1211,174 Aspen Circle,Memphis,TN,premium,medium,2026-05-12,active
CUST001126,Chynna Gupta,chynna.gupta@icloud.com,+1-892-765-4928,4819 Cypress Path,Tucson,AZ,private,high,2026-06-07,active
CUST001127,Robbin Nilsson,robbin.nilsson@protonmail.com,+1-474-670-7062,2248 Oak Avenue,Pittsburgh,PA,private,medium,2025-10-25,active
CUST001128,Annmarie Osei,annmarie.osei@icloud.com,+1-395-703-8001,5777 Oak Avenue,Louisville,KY,premium,medium,2026-04-07,active
CUST001129,Sidney Kimura,sidney.kimura@gmail.com,+1-665-523-8781,279 Poplar Road,Cleveland,OH,business,high,2026-07-06,active
CUST001130,Emry Khatri,emry.khatri@gmail.com,+1-497-342-8632,2554 Elm Boulevard,Minneapolis,MN,business,medium,2024-10-26,active
CUST001131,Alma Nakamura,alma.nakamura@yahoo.com,+1-430-342-7740,2642 Cypress Path,Pittsburgh,PA,business,high,2026-02-04,active
CUST001132,Kandy Singh,kandy.singh@protonmail.com,+1-871-659-1080,9407 Redwood Place,Baltimore,MD,premium,high,2026-05-28,active
CUST001133,Tayler Johansson,tayler.johansson@gmail.com,+1-370-218-8189,1088 Aspen Circle,Minneapolis,MN,business,low,2024-10-22,active
CUST001134,Hana Costa,hana.costa@yahoo.com,+1-522-991-3314,9107 Cedar Lane,Richmond,VA,private,low,2024-06-15,active
CUST001135,Dionte Kozlov,dionte.kozlov@protonmail.com,+1-303-628-9509,341 Magnolia Street,Louisville,KY,retail,medium,2024-04-08,active
CUST001136,Delano Almeida,delano.almeida@yahoo.com,+1-561-642-2171,4326 Elm Boulevard,Sacramento,CA,business,high,2026-09-16,active
CUST001137,Benedict Johansson,benedict.johansson@protonmail.com,+1-367-552-8569,9360 Pine Road,Raleigh,NC,business,high,2026-08-11,active
CUST001138,Lawton Nakamura,lawton.nakamura@gmail.com,+1-987-879-2986,9828 Aspen Circle,Memphis,TN,private,low,2026-07-06,active
CUST001139,Park Almeida,park.almeida@icloud.com,+1-696-980-2985,9700 Pine Road,Miami,FL,business,medium,2024-05-12,active
CUST001140,Dedra Antonov,dedra.antonov@gmail.com,+1-655-924-8180,8814 Willow Way,Sacramento,CA,premium,medium,2024-10-11,active
