account_id,customer_id,branch_id,account_type,account_number,balance,currency,opened_date,status
ACC00000001,CUST000349,BR047,checking,****4110,8072.89,USD,2023-09-24,active
ACC00000002,CUST000440,BR036,credit,****5266,-6168.41,USD,2020-04-02,active
ACC00000003,CUST000221,BR024,checking,****3917,24771.88,USD,2020-05-23,active
ACC00000004,CUST000296,BR045,credit,****4575,-3095.27,USD,2024-11-15,active
ACC00000005,CUST000178,BR029,loan,****1226,-213640.54,USD,2025-03-09,active
ACC00000006,CUST000034,BR016,loan,****1231,-83030.11,USD,2024-08-07,active
ACC00000007,CUST000087,BR039,savings,****9788,77539.71,USD,2025-03-04,active
ACC00000008,CUST000251,BR038,credit,****7254,-2106.51,USD,2020-05-17,active
ACC00000009,CUST000304,BR048,savings,****9576,25550.5,USD,2020-03-13,active
ACC00000010,CUST000091,BR011,checking,****8051,13259.54,GBP,2019-05-24,active
ACC00000011,CUST000200,BR033,loan,****4597,-225071.43,USD,2018-11-09,closed
ACC00000012,CUST000469,BR041,checking,****2129,12166.74,USD,2023-06-16,active
ACC00000013,CUST000343,BR017,loan,****7663,-205267.89,EUR,2023-10-24,active
ACC00000014,CUST000271,BR008,checking,****6598,20355.13,EUR,2020-09-11,active
ACC00000015,CUST000391,BR010,credit,****3051,-5537.11,USD,2019-05-30,active
ACC00000016,CUST000090,BR028,credit,****9910,-4195.73,USD,2021-09-22,active
ACC00000017,CUST000447,BR022,checking,****4726,40345.39,USD,2021-07-02,active
ACC00000018,CUST000296,BR004,savings,****7386,9565.44,USD,2020-11-22,active
ACC00000019,CUST000224,BR043,credit,****3908,-6878.29,USD,2024-12-07,active
ACC00000020,CUST000331,BR042,credit,****5047,-8877.98,EUR,2024-01-17,active
ACC00000021,CUST000289,BR022,loan,****6766,-137670.65,USD,2020-10-24,active
ACC00000022,CUST000382,BR030,checking,****5699,21524.85,EUR,2025-09-18,active
ACC00000023,CUST000260,BR025,savings,****6822,134349.25,USD,2018-06-09,active
ACC00000024,CUST000238,BR001,loan,****9475,-301429.71,EUR,2025-06-03,active
ACC00000025,CUST000080,BR048,credit,****6135,-8469.86,GBP,2025-12-07,active
ACC00000026,CUST000172,BR008,checking,****7095,3625.95,USD,2022-01-16,active
ACC00000027,CUST000403,BR035,credit,****8755,-1574.77,USD,2020-10-14,closed
ACC00000028,CUST000209,BR025,checking,****8803,29491.75,USD,2021-07-27,active
ACC00000029,CUST000325,BR049,loan,****8152,-265638.99,USD,2018-09-18,active
ACC00000030,CUST000358,BR043,savings,****7884,105102.42,USD,2018-04-11,active
ACC00000031,CUST000140,BR023,checking,****4540,19241.87,USD,2024-01-08,active
ACC00000032,CUST000050,BR006,credit,****2307,-1088.41,USD,2018-01-28,active
ACC00000033,CUST000110,BR043,checking,****1491,7535.02,USD,2021-09-09,active
ACC00000034,CUST000333,BR006,credit,****1470,-3790.26,USD,2023-09-06,active
ACC00000035,CUST000131,BR038,savings,****2440,30165.97,EUR,2022-12-29,active
ACC00000036,CUST000134,BR011,savings,****1037,52883.73,EUR,2021-08-03,active
ACC00000037,CUST000388,BR024,checking,****3189,42110.59,EUR,2019-03-03,active
ACC00000038,CUST000416,BR007,savings,****8181,114512.4,USD,2018-02-07,active
ACC00000039,CUST000005,BR043,savings,****7527,8046.8,USD,2022-07-07,active
ACC00000040,CUST000155,BR014,checking,****1818,38341.02,USD,2024-05-10,active
