card_id,account_id,card_number,card_type,credit_limit,available_credit,apr,expiry_date,status
CARD000001,ACC00000655,****-****-****-4387,amex,10000,2909.84,20.07,2029-03,active
CARD000002,ACC00000181,****-****-****-8731,visa,15000,13206.11,18.16,2029-01,active
CARD000003,ACC00000605,****-****-****-4962,visa,25000,10776.5,17.43,2030-11,active
CARD000004,ACC00000515,****-****-****-7002,amex,1000,500.7,24.6,2027-01,active
CARD000005,ACC00000384,****-****-****-7910,amex,1000,854.37,14.62,2030-04,blocked
CARD000006,ACC00000711,****-****-****-9199,visa,2500,1266.33,16.93,2026-02,active
CARD000007,ACC00000364,****-****-****-2502,visa,10000,8753.53,18.25,2028-12,blocked
CARD000008,ACC00000039,****-****-****-9988,mastercard,5000,2388.47,17.62,2026-02,active
CARD000009,ACC00000076,****-****-****-1794,mastercard,2500,570.69,16.12,2027-10,active
CARD000010,ACC00000321,****-****-****-6811,visa,25000,21166.62,19.41,2028-04,active
CARD000011,ACC00000580,****-****-****-1754,visa,15000,4638.81,24.72,2030-02,active
CARD000012,ACC00000590,****-****-****-4970,visa,5000,1214.66,19.72,2027-06,active
CARD000013,ACC00000445,****-****-****-4160,mastercard,25000,9315.72,20.83,2026-04,active
CARD000014,ACC00000058,****-****-****-9936,amex,25000,19547.17,15.13,2027-04,active
CARD000015,ACC00000040,****-****-****-9849,visa,10000,6654.16,22.51,2028-12,active
CARD000016,ACC00000775,****-****-****-4137,mastercard,10000,3364.48,16.75,2029-12,active
CARD000017,ACC00000625,****-****-****-2518,visa,25000,20924.33,13.54,2027-03,active
CARD000018,ACC00000638,****-****-****-7047,visa,1000,367.98,13.28,2029-03,active
CARD000019,ACC00000513,****-****-****-4491,amex,10000,5256.27,13.49,2027-09,active
CARD000020,ACC00000573,****-****-****-6077,mastercard,15000,11495.1,23.58,2030-09,active
CARD000021,ACC00000006,****-****-****-9809,mastercard,1000,295.75,21.53,2030-06,active
CARD000022,ACC00000652,****-****-****-3714,visa,1000,232.58,19.26,2029-10,active
CARD000023,ACC00000336,****-****-****-7949,mastercard,10000,8816.57,22.5,2027-10,active
CARD000024,ACC00000472,****-****-****-2120,amex,15000,6157.35,13.86,2027-12,active
CARD000025,ACC00000747,****-****-****-5673,visa,1000,412.92,16.4,2027-02,blocked
CARD000026,ACC00000784,****-****-****-8819,amex,1000,696.16,23.98,2027-02,blocked
CARD000027,ACC00000750,****-****-****-1179,amex,15000,10744.34,17.64,2028-12,active
CARD000028,ACC00000593,****-****-****-9355,visa,2500,2409.56,13.88,2028-08,active
CARD000029,ACC00000321,****-****-****-3869,amex,25000,14154.4,19.24,2028-02,active
CARD000030,ACC00000201,****-****-****-2963,amex,2500,1234.14,16.4,2026-06,active
CARD000031,ACC00000684,****-****-****-2715,mastercard,5000,1053.16,16.76,2029-09,active
CARD000032,ACC00000791,****-****-****-6593,mastercard,15000,10523.2,24.9,2030-05,blocked
CARD000033,ACC00000365,****-****-****-8807,visa,10000,9660.76,22.61,2027-03,active
CARD000034,ACC00000695,****-****-****-6701,mastercard,2500,1770.73,13.78,2028-01,expired
CARD000035,ACC00000755,****-****-****-7490,amex,1000,898.89,24.87,2028-09,active
CARD000036,ACC00000537,****-****-****-7260,mastercard,15000,5386.18,18.5,2026-05,active
